PublishTime_Pacific,Title,Script,Broll_Keywords,OverlayText,CTA,Hashtags,ZenithFX_Link
2025-11-10 00:10,What is a Pip? (Forex in 60s) #1,What is a Pip? (Forex in 60s) #1,charts;world map;macro candlesticks,Pip = tiny price step,"Education only. This promotes my company, ZenithFX. Learn more at ZenithFX.com",#forex #trading #education,https://zenithfx.com/
2025-11-10 00:15,"Spread, Bid, Ask — Easy (Forex in 60s) #2","Spread, Bid, Ask — Easy (Forex in 60s) #2",bid ask;broker ui;ticker board,Spread = trading cost,"Education only. This promotes my company, ZenithFX. Learn more at ZenithFX.com",#forex #risk #shorts,https://zenithfx.com/
2025-11-10 13:00,Leverage Explained (Simple) (Forex in 60s) #3,Leverage Explained (Simple) (Forex in 60s) #3,leverage scale;warning icon;balance,Leverage boosts wins AND losses,"Education only. This promotes my company, ZenithFX. Learn more at ZenithFX.com",#forex #beginner #markets,https://zenithfx.com/
2025-11-10 15:00,What is a Stop‑Loss? (Forex in 60s) #4,What is a Stop‑Loss? (Forex in 60s) #4,red line;stop icon;chart wick,Always set a stop‑loss,"Education only. This promotes my company, ZenithFX. Learn more at ZenithFX.com",#fx #trader #learn,https://zenithfx.com/
2025-11-10 17:00,Take‑Profit Basics (Forex in 60s) #5,Take‑Profit Basics (Forex in 60s) #5,target icon;green arrow;chart levels,Plan target + stop,"Education only. This promotes my company, ZenithFX. Learn more at ZenithFX.com",#forex #strategy #tips,https://zenithfx.com/
2025-11-11 09:00,1% Risk Rule (Forex in 60s) #6,1% Risk Rule (Forex in 60s) #6,calculator;risk meter;journal,Risk 1% per trade,"Education only. This promotes my company, ZenithFX. Learn more at ZenithFX.com",#forex #trading #education,https://zenithfx.com/
2025-11-11 11:00,Major vs Minor Pairs (Forex in 60s) #7,Major vs Minor Pairs (Forex in 60s) #7,USD;EUR;JPY;GBP;pair board,Majors = USD pairs,"Education only. This promotes my company, ZenithFX. Learn more at ZenithFX.com",#forex #risk #shorts,https://zenithfx.com/
2025-11-11 13:00,Forex Sessions (Forex in 60s) #8,Forex Sessions (Forex in 60s) #8,london;new york;clocks,London & New York = busy,"Education only. This promotes my company, ZenithFX. Learn more at ZenithFX.com",#forex #beginner #markets,https://zenithfx.com/
2025-11-11 15:00,What is Slippage? (Forex in 60s) #9,What is Slippage? (Forex in 60s) #9,news flash;volatility;gap,Fast moves = slippage,"Education only. This promotes my company, ZenithFX. Learn more at ZenithFX.com",#fx #trader #learn,https://zenithfx.com/
2025-11-11 17:00,Build a Trading Plan (Forex in 60s) #10,Build a Trading Plan (Forex in 60s) #10,notebook;checklist;calendar,Plan the trade. Trade the plan.,"Education only. This promotes my company, ZenithFX. Learn more at ZenithFX.com",#forex #strategy #tips,https://zenithfx.com/
2025-11-12 09:00,Risk‑to‑Reward (R:R) (Forex in 60s) #11,Risk‑to‑Reward (R:R) (Forex in 60s) #11,ratio diagram;green vs red;levels,Aim for 1:2 or better,"Education only. This promotes my company, ZenithFX. Learn more at ZenithFX.com",#forex #trading #education,https://zenithfx.com/
2025-11-12 11:00,Support & Resistance (Forex in 60s) #12,Support & Resistance (Forex in 60s) #12,horizontal lines;multi‑touch;retests,Levels = map,"Education only. This promotes my company, ZenithFX. Learn more at ZenithFX.com",#forex #risk #shorts,https://zenithfx.com/
